date,mess,meal,excellent,good,okay,poor,day,score,votes
2023-09-21,2,dinner,1.7699115044247788,9.29203539823009,41.5929203539823,47.34513274336283,Thursday,2.1814159292035398,226
2023-09-26,2,lunch,25.139664804469273,50.83798882681564,20.670391061452513,3.3519553072625694,Tuesday,3.9441340782122905,179
2023-09-26,1,lunch,0.0,13.10344827586207,56.55172413793104,30.344827586206897,Tuesday,2.524137931034483,145
2023-09-26,2,dinner,0.0,13.698630136986301,55.479452054794514,30.821917808219176,Tuesday,2.5205479452054793,146
2023-09-26,1,dinner,5.172413793103448,20.689655172413794,25.0,49.137931034482754,Tuesday,2.3275862068965516,116
2023-09-27,1,breakfast,1.6528925619834711,28.09917355371901,58.67768595041323,11.570247933884298,Wednesday,3.0826446280991737,121
2023-09-27,2,breakfast,0.8333333333333334,0.8333333333333334,65.83333333333334,32.5,Wednesday,2.375,120
2023-09-27,1,lunch,1.9230769230769231,43.269230769230774,44.23076923076923,10.576923076923077,Wednesday,3.2596153846153846,104
2023-09-27,2,lunch,0.0,10.317460317460316,67.46031746031746,22.22222222222222,Wednesday,2.6587301587301586,126
2023-09-27,1,dinner,0.970873786407767,13.592233009708739,58.25242718446602,27.184466019417478,Wednesday,2.6116504854368934,103
2023-09-27,2,dinner,0.78125,7.03125,33.59375,58.59375,Wednesday,1.9140625,128
2023-09-30,1,dinner,0.0,0.847457627118644,26.271186440677965,72.88135593220339,Saturday,1.5508474576271187,118
2023-09-30,2,dinner,0.0,1.7241379310344827,62.93103448275862,35.3448275862069,Saturday,2.310344827586207,116
2023-10-06,2,breakfast,1.098901098901099,35.16483516483517,59.34065934065934,4.395604395604396,Friday,3.2857142857142856,91
2023-10-06,1,breakfast,1.1627906976744187,32.55813953488372,56.97674418604652,9.30232558139535,Friday,3.1627906976744184,86
2023-10-06,1,lunch,0.0,0.0,37.2093023255814,62.79069767441861,Friday,1.744186046511628,86
2023-10-06,2,lunch,0.0,1.9607843137254901,54.90196078431372,43.13725490196078,Friday,2.156862745098039,102
2023-10-06,1,dinner,0.0,4.054054054054054,17.56756756756757,78.37837837837837,Friday,1.472972972972973,74
2023-10-06,2,dinner,0.0,12.941176470588236,52.94117647058824,34.11764705882353,Friday,2.447058823529412,85
2023-10-17,2,dinner,0.0,3.571428571428571,39.285714285714285,57.14285714285714,Tuesday,1.8928571428571428,84
2023-10-30,2,dinner,0.0,0.0,18.94736842105263,81.05263157894737,Monday,1.3789473684210527,95
2023-11-06,2,breakfast,0.0,0.0,26.666666666666664,73.33333333333333,Monday,1.5333333333333334,75
2023-11-08,2,lunch,11.764705882352942,47.05882352941177,36.029411764705884,5.147058823529412,Wednesday,3.6029411764705883,136
2023-11-09,1,breakfast,0.0,3.260869565217391,39.130434782608695,57.60869565217391,Thursday,1.8804347826086956,92
2023-11-09,1,dinner,0.0,6.185567010309278,14.432989690721648,79.38144329896906,Thursday,1.4742268041237114,97
2023-11-09,2,dinner,0.0,5.714285714285714,18.571428571428573,75.71428571428572,Thursday,1.542857142857143,70
2023-11-21,2,dinner,0.0,2.7027027027027026,22.52252252252252,74.77477477477477,Tuesday,1.5315315315315314,111
2023-12-03,2,lunch,0.0,8.737864077669903,26.21359223300971,65.04854368932038,Sunday,1.7864077669902914,103
2024-01-17,1,dinner,0.0,1.1764705882352942,17.647058823529413,81.17647058823529,Wednesday,1.388235294117647,85
2024-01-17,2,dinner,0.0,1.1764705882352942,17.647058823529413,81.17647058823529,Wednesday,1.388235294117647,85
2024-01-24,2,breakfast,1.2048192771084338,27.71084337349398,24.698795180722893,46.385542168674704,Wednesday,2.3734939759036147,166
2024-01-25,1,dinner,3.571428571428571,13.095238095238095,27.38095238095238,55.95238095238095,Thursday,2.0833333333333335,84
2024-01-25,2,dinner,0.6944444444444444,5.555555555555555,18.055555555555554,75.69444444444444,Thursday,1.5555555555555556,144
2024-01-28,1,lunch,95.48022598870057,3.389830508474576,0.5649717514124294,0.5649717514124294,Sunday,4.932203389830509,177
2024-01-28,2,lunch,95.48022598870057,3.389830508474576,0.5649717514124294,0.5649717514124294,Sunday,4.932203389830509,177
2024-01-29,2,breakfast,2.3121387283236996,25.433526011560694,49.710982658959544,22.54335260115607,Monday,2.8497109826589595,173
2024-01-29,2,lunch,1.0869565217391304,7.608695652173912,9.782608695652174,81.52173913043478,Monday,1.4673913043478262,92
2024-01-29,1,dinner,0.9433962264150944,6.60377358490566,16.9811320754717,75.47169811320755,Monday,1.5754716981132075,106
2024-01-29,2,dinner,16.666666666666664,47.33333333333333,16.666666666666664,19.333333333333332,Monday,3.42,150
2024-01-30,1,breakfast,1.1764705882352942,11.764705882352942,37.64705882352941,49.411764705882355,Tuesday,2.152941176470588,85
2024-01-30,1,breakfast,1.5873015873015872,4.761904761904762,29.365079365079364,64.28571428571428,Tuesday,1.7936507936507937,126
2024-01-30,1,lunch,1.1111111111111112,6.666666666666667,10.0,82.22222222222223,Tuesday,1.4444444444444444,90
2024-01-30,2,lunch,1.0869565217391304,7.608695652173912,9.782608695652174,81.52173913043478,Tuesday,1.4673913043478262,92
2024-01-30,1,dinner,1.075268817204301,15.053763440860214,38.70967741935483,45.16129032258064,Tuesday,2.2688172043010755,93
2024-01-30,2,dinner,1.075268817204301,15.053763440860214,38.70967741935483,45.16129032258064,Tuesday,2.2688172043010755,93
2024-01-31,2,breakfast,2.0134228187919465,8.724832214765101,27.516778523489933,61.74496644295302,Wednesday,1.8926174496644295,149
